Drug Name,Drug ID,Cell Line Name,Cosmic ID,TCGA Classification,Tissue,Tissue Sub-type,IC50,AUC,Max Conc,RMSE,Z score,Dataset Version
"Camptothecin","1003","Calu-3","687777","LUAD","lung","lung_NSCLC_adenocarcinoma","-1.6270381858469685",".8631444990105942",".10000000000000001",".096588557068109579",".3428189276675086","GDSC2"
"Camptothecin","1003","NCI-H1437","687794","LUAD","lung","lung_NSCLC_adenocarcinoma","-1.8386613413805011",".90002380752056332",".10000000000000001",".095316225406920599",".22774354721349632","GDSC2"
"Camptothecin","1003","NCI-H1623","687798","LUAD","lung","lung_NSCLC_adenocarcinoma","-4.1356672611136531",".68754437640806987",".10000000000000001",".15286586033218633","-1.0213108365187544","GDSC2"
"Camptothecin","1003","NCI-H1648","687799","LUAD","lung","lung_NSCLC_adenocarcinoma","-1.9610443747599506",".87943150912697532",".10000000000000001",".10846808401280029",".1611947137847996","GDSC2"
"Camptothecin","1003","NCI-H1650","687800","LUAD","lung","lung_NSCLC_adenocarcinoma",".13755407108119722",".93603377960034528",".10000000000000001",".075313598256334116","1.3023600742885686","GDSC2"
"Camptothecin","1003","NCI-H1693","687802","LUAD","lung","lung_NSCLC_adenocarcinoma",".1292420923119646",".91594638082050928",".10000000000000001",".072624662357184136","1.2978402280704948","GDSC2"
"Camptothecin","1003","NCI-H1838","687807","LUAD","lung","lung_NSCLC_adenocarcinoma",".69902586215918971",".94993548517324167",".10000000000000001",".084317462514994487","1.6076743949714851","GDSC2"
"Camptothecin","1003","NCI-H2085","687812","LUAD","lung","lung_NSCLC_adenocarcinoma",".58335863237654784",".9682206311271313",".10000000000000001",".06870152944357992","1.544777447613614","GDSC2"
"Camptothecin","1003","NCI-H2228","687816","LUAD","lung","lung_NSCLC_adenocarcinoma","-2.7117615691664332",".7906256455504268",".10000000000000001",".093441948684399034","-.24702652524689012","GDSC2"
"Camptothecin","1003","NCI-H2342","687819","LUAD","lung","lung_NSCLC_adenocarcinoma","-.11111294998591818",".95559721923019358",".10000000000000001",".062819185636850322","1.1671411660196673","GDSC2"
"Camptothecin","1003","NCI-H2347","687820","LUAD","lung","lung_NSCLC_adenocarcinoma",".39973652313061342",".92339548509849612",".10000000000000001",".071253043933379417","1.4449283359794387","GDSC2"
"Camptothecin","1003","NCI-H2405","687821","LUAD","lung","lung_NSCLC_adenocarcinoma","-.54292023704524828",".87601734224596661",".10000000000000001",".078239849290365454",".93233516042972775","GDSC2"
"Camptothecin","1003","VMRC-LCD","713869","LUAD","lung","lung_NSCLC_adenocarcinoma",".92619162466614402",".97553785420186134",".10000000000000001",".046881628898225607","1.7312014564629736","GDSC2"
"Camptothecin","1003","NCI-H2030","722045","LUAD","lung","lung_NSCLC_adenocarcinoma",".08162766771135746",".95086045787609841",".10000000000000001",".10865733398027237","1.2719486945461989","GDSC2"
"Camptothecin","1003","NCI-H2122","722046","LUAD","lung","lung_NSCLC_adenocarcinoma","-2.9056400524827097",".84069656475029242",".10000000000000001",".19099636452557867","-.35245279664530604","GDSC2"
"Camptothecin","1003","NCI-H1734","722058","LUAD","lung","lung_NSCLC_adenocarcinoma","-4.0545487073102393",".72463437673883691",".10000000000000001",".13336920573215194","-.97720059528700998","GDSC2"
"Camptothecin","1003","NCI-H650","722066","LUAD","lung","lung_NSCLC_adenocarcinoma","-2.6586846580009453",".85423852174826886",".10000000000000001",".080820133506816438","-.21816462811520071","GDSC2"
"Camptothecin","1003","NCI-H2087","724834","LUAD","lung","lung_NSCLC_adenocarcinoma","-2.691663985993177",".80716874381071102",".10000000000000001",".10399378905420477","-.23609796204671543","GDSC2"
"Camptothecin","1003","Calu-6","724859","LUAD","lung","lung_NSCLC_adenocarcinoma","-1.9276879553446042",".85417944668436196",".10000000000000001",".081371313521432412",".17933310060323243","GDSC2"
"Camptothecin","1003","NCI-H1355","724866","LUAD","lung","lung_NSCLC_adenocarcinoma",".69219286396552626",".95136741536436298",".10000000000000001",".062518539769977038","1.6039587814092782","GDSC2"
"Camptothecin","1003","NCI-H1792","724868","LUAD","lung","lung_NSCLC_adenocarcinoma","-3.2319090620740858",".80659524156407592",".10000000000000001",".094311606002013451","-.52986972587700398","GDSC2"
"Camptothecin","1003","NCI-H2009","724873","LUAD","lung","lung_NSCLC_adenocarcinoma","-2.6221907913241949",".83014956424604036",".10000000000000001",".091056797396196598","-.19832017592622639","GDSC2"
"Camptothecin","1003","NCI-H2291","724874","LUAD","lung","lung_NSCLC_adenocarcinoma",".49761102237633192",".93202140763542773",".10000000000000001",".082214588702267971","1.4981500413691513","GDSC2"
"Camptothecin","1003","SW1573","724878","LUAD","lung","lung_NSCLC_adenocarcinoma","-2.5232688819017799",".80182184336723661",".10000000000000001",".095827197189521957","-.14452891507236401","GDSC2"
"Camptothecin","1003","LXF-289","753592","LUAD","lung","lung_NSCLC_adenocarcinoma","-1.8643371153265502",".90546466235841017",".10000000000000001",".096439594179943369",".213781703350788","GDSC2"
"Camptothecin","1003","NCI-H1563","753600","LUAD","lung","lung_NSCLC_adenocarcinoma","-.079352024429694551",".96449989097074107",".10000000000000001",".073697436879089417","1.1844119631719898","GDSC2"
"Camptothecin","1003","PC-14","753608","LUAD","lung","lung_NSCLC_adenocarcinoma","-2.2608411276117262",".86079096648992492",".10000000000000001",".09883277673653354","-.0018272641566880112","GDSC2"
"Camptothecin","1003","NCI-H23","905942","LUAD","lung","lung_NSCLC_adenocarcinoma","-2.5024985690747528",".87105877997074521",".10000000000000001",".097773323840749993","-.133234538307718","GDSC2"
